date,n1,n2,n3,n4,n5,n6
2014-04-24,3,4,14,21,25,29
2014-04-28,5,10,20,28,38,39
2014-05-01,1,9,17,23,26,39
2014-05-05,14,21,28,32,40,41
2014-05-08,5,10,16,23,31,34
2014-05-12,9,10,11,17,32,34
2014-05-15,5,15,23,29,37,42
2014-05-19,6,11,13,14,22,39
2014-05-22,4,22,25,29,34,35
2014-05-26,2,8,12,16,29,30
2014-05-29,1,7,8,15,16,30
2014-06-02,6,9,12,36,37,43
2014-06-05,1,6,31,33,38,41
2014-06-09,8,11,13,14,15,24
2014-06-12,6,8,9,13,33,36
2014-06-16,4,11,22,36,37,40
2014-06-19,2,7,8,22,36,39
2014-06-23,1,7,19,28,35,40
2014-06-26,5,7,10,12,14,41
2014-06-30,3,21,26,29,37,38
2014-07-03,2,11,17,29,30,39
2014-07-07,11,17,23,26,37,43
2014-07-10,9,11,23,24,37,40
2014-07-14,11,15,17,23,29,37
2014-07-17,3,5,11,22,26,35
2014-07-21,1,3,20,24,30,31
2014-07-24,1,11,14,19,25,42
2014-07-28,2,7,12,17,26,40
2014-07-31,4,5,20,25,33,39
2014-08-04,14,16,19,23,31,35
2014-08-07,6,21,23,26,29,41
2014-08-11,11,14,16,21,30,34
2014-08-14,20,23,27,30,35,39
2014-08-18,2,8,16,17,24,41
2014-08-21,8,12,14,24,33,36
2014-08-25,9,12,26,29,39,41
2014-08-28,6,11,15,20,36,40
2014-09-01,13,16,17,19,24,28
2014-09-04,3,12,15,24,31,36
2014-09-08,4,13,24,32,34,36
2014-09-11,1,2,7,25,26,40
2014-09-15,4,14,23,31,34,43
2014-09-18,2,6,20,28,34,38
2014-09-22,7,11,12,13,26,41
2014-09-25,6,15,18,22,25,28
2014-09-29,1,3,19,20,29,40
2014-10-02,9,11,12,28,32,43
2014-10-06,4,8,12,26,39,42
2014-10-09,5,7,9,10,32,34
2014-10-13,2,16,23,31,36,40
2014-10-16,4,5,17,18,32,37
2014-10-20,7,18,29,30,38,39
2014-10-23,9,13,24,27,35,42
2014-10-27,3,9,13,14,33,41
2014-10-30,4,16,20,23,41,43
2014-11-03,7,13,20,24,28,40
2014-11-06,3,6,9,34,35,43
2014-11-10,1,6,12,23,28,40
2014-11-13,14,24,30,31,34,35
2014-11-17,1,15,18,23,28,41
2014-11-20,16,17,21,22,26,27
2014-11-24,2,8,16,18,31,41
2014-11-27,5,6,7,20,24,31
2014-12-01,3,16,17,29,33,37
2014-12-04,2,7,19,32,37,40
2014-12-08,1,15,16,20,22,37
2014-12-11,2,10,14,32,33,36
2014-12-15,2,5,8,10,21,32
2014-12-18,13,19,33,36,40,43
2014-12-22,11,14,16,17,36,39
2014-12-25,2,6,13,18,23,24
2014-12-29,5,12,15,28,34,41
2015-01-01,13,15,18,19,22,33
2015-01-05,9,14,16,17,22,23
2015-01-08,1,4,9,32,39,40
2015-01-12,6,23,24,37,39,41
2015-01-15,6,8,9,26,36,43
2015-01-19,5,10,21,24,41,42
2015-01-22,3,4,12,25,31,40
2015-01-26,6,10,13,18,24,27
2015-01-29,2,13,17,20,41,43
2015-02-02,1,29,31,33,37,41
2015-02-05,2,22,28,30,31,43
2015-02-09,2,3,4,7,17,19
2015-02-12,12,15,19,28,30,43
2015-02-16,2,3,17,20,25,32
2015-02-19,5,8,15,18,29,38
2015-02-23,8,9,19,20,33,36
2015-02-26,7,8,17,19,26,28
2015-03-02,21,22,25,33,35,39
2015-03-05,12,22,24,28,33,37
2015-03-09,7,9,13,18,22,37
2015-03-12,7,9,13,31,36,40
2015-03-16,3,9,13,20,26,38
2015-03-19,15,21,26,30,33,35
2015-03-23,6,8,14,24,34,41
2015-03-26,8,20,24,30,37,43
2015-03-30,2,4,5,7,16,26
2015-04-02,17,19,33,34,36,38
2015-04-06,6,13,15,17,19,34
2015-04-09,12,13,22,30,33,35
2015-04-13,1,5,15,22,27,31
2015-04-16,2,5,10,22,25,32
2015-04-20,5,15,16,18,40,42
2015-04-23,1,4,8,20,21,35
2015-04-27,3,17,24,30,35,38
2015-04-30,1,3,14,28,31,37
2015-05-04,5,19,25,30,41,43
2015-05-07,1,21,23,35,38,42
2015-05-11,12,18,30,34,35,42
2015-05-14,5,13,23,28,32,42
2015-05-18,6,11,27,31,36,41
2015-05-21,9,12,13,26,41,43
2015-05-25,4,10,26,28,30,35
2015-05-28,5,10,12,14,28,33
2015-06-01,4,19,23,28,36,42
2015-06-04,1,9,16,24,27,35
2015-06-08,13,22,27,34,35,36
2015-06-11,4,16,22,23,27,31
2015-06-15,13,20,23,30,31,39
2015-06-18,3,17,19,29,34,36
2015-06-22,3,5,7,16,18,21
2015-06-25,11,12,17,18,30,38
2015-06-29,1,5,11,15,17,26
2015-07-02,7,9,16,21,22,25
2015-07-06,14,28,32,36,38,41
2015-07-09,5,7,21,28,36,38
2015-07-13,2,4,16,20,30,43
2015-07-16,13,30,31,34,38,42
2015-07-20,1,4,6,12,18,36
2015-07-23,1,4,6,28,41,42
2015-07-27,3,13,15,24,27,38
2015-07-30,6,12,20,30,32,38
2015-08-03,2,10,22,28,33,36
2015-08-06,10,14,16,33,38,40
2015-08-10,5,27,30,32,37,42
2015-08-13,1,14,15,16,23,41
2015-08-17,3,10,14,18,24,25
2015-08-20,12,19,21,30,33,35
2015-08-24,2,10,11,16,22,35
2015-08-27,8,10,18,21,32,33
2015-08-31,6,8,18,24,29,39
2015-09-03,4,7,13,18,40,43
2015-09-07,5,6,13,22,35,38
2015-09-10,2,12,13,19,26,37
2015-09-14,4,14,17,24,35,36
2015-09-17,2,9,10,22,32,42
2015-09-21,5,19,32,36,39,40
2015-09-24,7,14,23,28,31,39
2015-09-28,3,8,16,17,19,20
2015-10-01,1,4,21,34,37,41
2015-10-05,12,14,25,30,34,43
2015-10-08,7,11,12,14,36,41
2015-10-12,8,9,17,18,27,34
2015-10-15,1,4,8,23,34,37
2015-10-19,1,2,5,13,33,42
2015-10-22,11,13,24,27,29,31
2015-10-26,2,8,9,22,30,31
2015-10-29,3,12,17,28,35,41
2015-11-02,11,19,37,38,39,42
